id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_obs,TP,FN,FP,recall,precision,f1
60,Fremersdorf,4077500.0,2932500.0,7025.0,Moselle,Saar,Rhine,DE,,4211,414.6,479.4,639.1,744.8,846.2,977.5,1075.8,1173.8,1303.1,0,0,0,1,,0.0,0.0
62,Bonn,4117500.0,3072500.0,140775.0,Rhine,Rhine,Rhine,DE,,3511,5100.9,5666.5,7058.5,7980.1,8864.1,10008.4,10865.9,11720.2,12847.3,1,1,0,0,1.0,1.0,1.0
63,Speyer,4212500.0,2917500.0,53250.0,Rhine,Rhine,Rhine,DE,,11111,2876.6,3116.9,3708.1,4099.6,4475.1,4961.1,5325.3,5688.2,6167.0,1,1,0,0,1.0,1.0,1.0
64,Heidelberg UP,4227500.0,2922500.0,13900.0,Neckar,Neckar,Rhine,DE,,10111,743.0,840.7,1081.4,1240.7,1393.6,1591.4,1739.7,1887.4,2082.3,0,0,0,0,,,
67,Breisach,4142500.0,2777500.0,37575.0,Rhine,Rhine,Rhine,DE,,11711,2486.1,2716.8,3284.5,3660.4,4020.9,4487.6,4837.3,5185.7,5645.4,1,1,0,0,1.0,1.0,1.0
68,Rheinweiler,4137500.0,2737500.0,36650.0,Rhine,Rhine,Rhine,DE,,11711,2462.1,2692.7,3260.1,3635.8,3996.2,4462.7,4812.2,5160.5,5620.0,1,1,0,0,1.0,1.0,1.0
109,Bollendorf,4062500.0,2972500.0,3250.0,Moselle,Sauer,Rhine,DE,,4411,254.7,309.8,445.5,535.4,621.6,733.2,816.8,900.1,1010.0,1,1,0,0,1.0,1.0,1.0
110,Boos,4157500.0,2967500.0,2850.0,Nahe,Nahe,Rhine,DE,,6111,230.4,282.0,409.2,493.4,574.1,678.7,757.0,835.1,938.0,0,0,0,1,,0.0,0.0
111,Dietersheim,4172500.0,2982500.0,4025.0,Nahe,Nahe,Rhine,DE,,6111,254.9,314.8,462.3,560.0,653.7,775.0,865.8,956.4,1075.8,0,0,0,1,,0.0,0.0
112,Grolsheim,4172500.0,2977500.0,4000.0,Nahe,Nahe,Rhine,DE,,6111,255.6,315.5,462.9,560.5,654.2,775.4,866.2,956.7,1076.1,0,0,0,1,,0.0,0.0
113,Martinstein,4142500.0,2967500.0,1525.0,Nahe,Nahe,Rhine,DE,,6311,162.9,198.5,286.4,344.5,400.3,472.4,526.5,580.4,651.5,0,0,0,1,,0.0,0.0
114,Odenbach,4152500.0,2952500.0,1075.0,Nahe,Glan,Rhine,DE,,6211,75.1,91.6,132.4,159.3,185.2,218.6,243.7,268.7,301.7,0,0,0,1,,0.0,0.0
117,Bad Vilbel,4232500.0,3007500.0,1575.0,Main,Nidda,Rhine,DE,,8211,41.0,47.0,61.7,71.4,80.7,92.8,101.9,110.9,122.8,3,2,1,0,0.6666666666666666,1.0,0.8
