station_id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_5
829,Räpina,5337500.0,4012500.0,1150.0,Narva,Vohandu jogi,Narva,EE,,,40.94686592419287,48.46022567988505,66.95039302120863,79.19249268371202,90.93540859503116,106.13540872182881,117.52566985339097,128.8743698353873,143.84682451637696,0
2610,OSINKINA,5472500.0,3932500.0,3175.0,Velikaya,SOROT,Narva,RU,,,125.6918476457201,156.356335091203,231.8207774631175,281.78480469112037,329.71149917200154,391.74768913434207,438.23508369906324,484.5528535698364,545.6603558753707,0
3094,Rannu-Jõesuu,5252500.0,4027500.0,3575.0,Narva,Emajogi,Narva,EE,,,143.66344195117952,169.53524485615006,233.20502517942379,275.35995984381816,315.79598525270694,368.1362724508683,407.3579523136841,446.4365188550254,497.99326698181346,0
2609,TARTU,5292500.0,4032500.0,8325.0,Emajogi,EMAJOGI,Narva,EE,,,204.22122427069866,246.3038996071533,349.8681816917601,418.4367478572957,484.2093627550372,569.34526616569,633.1426453386789,696.7072385915656,780.568649440755,0
3096,Vasknarva,5332500.0,4117500.0,49625.0,Narva,Narva,Narva,EE,,,699.1144266532804,788.760030902998,1009.3753452083677,1155.441879650425,1295.5524063327516,1476.9111113954546,1612.8139398108485,1748.2208816339205,1926.8646296538338,0
