id,name,X,Y,area,subcatchment,river,catchment,country,KGE,correlation,bias,variability,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_obs,TP,FN,FP,recall,precision,f0.8
101,Hrastnik,4717500,2567500,5200,Sava,Sava,Danube,SI,0.926,0.927,1.001,0.991,,109311,874.1,1004.8,1326.4,1539.3,1743.5,2007.9,2206.0,2403.3,2663.7,0,0.0,0.0,0.0,,,
102,Jesenice na Dolenjskem,4767500,2542500,10675,Sava,Sava,Danube,SI,0.896,0.898,0.989,0.98,,109131,1379.1,1578.4,2068.8,2393.6,2705.1,3108.2,3410.4,3711.4,4108.6,0,0.0,0.0,0.0,,,
103,Moste,4667500,2557500,1825,Sava,Ljubljanica,Danube,SI,0.933,0.934,1.01,1.001,,109411,227.3,265.1,358.0,419.5,478.5,554.8,612.0,669.0,744.3,1,0.0,1.0,0.0,0.0,,0.0
104,Medlog,4722500,2582500,1000,Sava,Savinja,Danube,SI,,,,,,109211,241.5,283.5,386.7,455.1,520.7,605.6,669.2,732.5,816.2,0,0.0,0.0,0.0,,,
105,Laško,4727500,2572500,1675,Sava,Savinja,Danube,SI,,,,,,109211,331.9,400.6,569.6,681.5,788.9,927.8,1032.0,1135.7,1272.6,0,0.0,0.0,0.0,,,
106,Veliko Širje,4722500,2572500,1700,Sava,Savinja,Danube,SI,,,,,,109211,331.2,399.4,567.0,677.9,784.4,922.2,1025.4,1128.3,1264.0,0,0.0,0.0,0.0,,,
107,Podbočje,4747500,2547500,1875,Sava,Krka,Danube,SI,0.854,0.914,0.883,0.982,,109161,237.1,273.3,362.6,421.6,478.3,551.7,606.6,661.4,733.6,0,0.0,0.0,0.0,,,
108,Solkan,4602500,2542500,1550,Soca,Soca,Soca,SI,0.866,0.871,0.97,1.016,1.0,3,864.6,978.1,1257.4,1442.3,1619.6,1849.2,2021.3,2192.7,2418.8,0,0.0,0.0,0.0,,,
109,Bollendorf,4062500,2972500,3250,Moselle,Sauer,Rhine,DE,0.88,0.886,0.965,1.01,,4411,254.7,309.8,445.5,535.4,621.6,733.2,816.8,900.1,1010.0,1,1.0,0.0,0.0,1.0,1.0,1.0
110,Boos,4157500,2967500,2850,Nahe,Nahe,Rhine,DE,0.893,0.905,1.003,1.049,,6111,230.4,282.0,409.2,493.4,574.1,678.7,757.0,835.1,938.0,0,0.0,0.0,1.0,,0.0,0.0
111,Dietersheim,4172500,2982500,4025,Nahe,Nahe,Rhine,DE,0.852,0.886,0.948,1.079,,6111,254.9,314.8,462.3,560.0,653.7,775.0,865.8,956.4,1075.8,0,0.0,0.0,1.0,,0.0,0.0
112,Grolsheim,4172500,2977500,4000,Nahe,Nahe,Rhine,DE,,,,,,6111,255.6,315.5,462.9,560.5,654.2,775.4,866.2,956.7,1076.1,0,0.0,0.0,1.0,,0.0,0.0
113,Martinstein,4142500,2967500,1525,Nahe,Nahe,Rhine,DE,0.842,0.856,0.941,1.03,,6311,162.9,198.5,286.4,344.5,400.3,472.4,526.5,580.4,651.5,0,0.0,0.0,1.0,,0.0,0.0
114,Odenbach,4152500,2952500,1075,Nahe,Glan,Rhine,DE,0.884,0.895,1.042,1.026,,6211,75.1,91.6,132.4,159.3,185.2,218.6,243.7,268.7,301.7,0,0.0,0.0,1.0,,0.0,0.0
117,Bad Vilbel,4232500,3007500,1575,Main,Nidda,Rhine,DE,0.857,0.862,0.962,1.007,,8211,41.0,47.0,61.7,71.4,80.7,92.8,101.9,110.9,122.8,2,2.0,0.0,0.0,1.0,1.0,1.0
118,Hanau,4247500,3002500,900,Main,Kinzig,Rhine,DE,0.887,0.899,0.952,0.983,,8411,43.3,50.4,68.0,79.6,90.8,105.2,116.0,126.8,141.0,3,2.0,1.0,0.0,0.6666666666666666,1.0,0.836734693877551
119,Ilbenstadt,4232500,3017500,1075,Main,Nidda,Rhine,DE,0.842,0.856,1.046,0.955,,8211,28.4,32.1,41.1,47.0,52.8,60.1,65.7,71.2,78.5,4,2.0,2.0,0.0,0.5,1.0,0.7192982456140351
120,Marburg,4237500,3082500,1675,Lahn,Lahn,Rhine,DE,0.878,0.881,0.972,1.002,,5211,89.4,106.1,147.3,174.6,200.8,234.7,260.0,285.3,318.7,0,0.0,0.0,0.0,,,
123,"Kitinen, Kokkosniva",5072500,4992500,6575,Kitinen,Kitinen,Kemijoki,FI,0.605,0.63,0.896,1.091,2.0,81,397.7,453.6,591.1,682.1,769.4,882.5,967.2,1051.6,1162.9,0,0.0,0.0,0.0,,,
124,Jumisko,5112500,4922500,1300,Jumiskonjoki,Jumiskonjoki,Kemijoki,FI,,,,,2.0,61,60.3,69.8,93.3,108.8,123.7,143.0,157.4,171.8,190.8,0,0.0,0.0,0.0,,,
125,Kemihaara,5092500,5002500,10325,"Kemijoki, headwaters",Kemijoki,Kemijoki,FI,0.807,0.834,0.909,1.036,1.0,91,571.9,680.7,948.5,1125.8,1295.8,1515.9,1680.9,1845.2,2062.0,0,0.0,0.0,0.0,,,
126,Seitakorva,5092500,4912500,28675,"Kemijoki, below Jumiskonjoki",Kemijoki,Kemijoki,FI,0.641,0.658,1.049,1.1,1.0,51,1120.6,1303.6,1753.8,2051.8,2337.8,2707.8,2985.2,3261.5,3626.0,0,0.0,0.0,0.0,,,
127,Vanttauskoski,5062500,4897500,30300,"Kemijoki, below Jumiskonjoki",Kemijoki,Kemijoki,FI,0.658,0.694,1.038,1.149,1.0,51,1141.3,1327.9,1787.2,2091.3,2383.0,2760.5,3043.4,3325.3,3697.2,0,0.0,0.0,0.0,,,
128,Vikajärvi  luusua,5037500,4917500,3150,Raudanjoki,Raudanjoki,Kemijoki,FI,0.84,0.847,0.958,0.981,2.0,41,119.0,140.9,195.0,230.7,265.0,309.4,342.7,375.9,419.6,0,0.0,0.0,0.0,,,
129,"Olkkajärvi, Permantokoski",5037500,4907500,3550,Raudanjoki,Raudanjoki,Kemijoki,FI,,,,,2.0,41,127.0,151.3,211.1,250.7,288.6,337.7,374.6,411.2,459.6,0,0.0,0.0,0.0,,,
130,"Ounasjoki, Köngäs",4947500,5047500,4625,Ounasjoki,Ounasjoki,Kemijoki,FI,0.756,0.827,0.832,0.965,2.0,23,292.2,337.6,449.4,523.4,594.3,686.2,755.0,823.6,914.1,0,0.0,0.0,0.0,,,
131,Unari  luusua,5002500,4967500,1175,Ounasjoki,Meltausjoki,Kemijoki,FI,0.753,0.776,0.911,0.945,3.0,22,44.7,50.9,66.3,76.5,86.3,98.9,108.4,117.9,130.3,0,0.0,0.0,0.0,,,
132,"Ounasjoki, Marraskoski",4997500,4932500,12900,Ounasjoki,Ounasjoki,Kemijoki,FI,0.832,0.843,0.962,0.955,2.0,21,686.0,784.9,1028.4,1189.5,1344.2,1544.3,1694.2,1843.7,2040.8,0,0.0,0.0,0.0,,,
133,Valajaskoski,5017500,4897500,49325,"Kemijoki, below Ounasjoki",Kemijoki,Kemijoki,FI,0.812,0.824,1.057,0.971,1.0,11,1923.9,2236.3,3005.0,3513.9,4002.1,4634.0,5107.6,5579.4,6201.9,0,0.0,0.0,0.0,,,
134,Isohaara,4987500,4817500,52475,"Kemijoki, below Ounasjoki",Kemijoki,Kemijoki,FI,0.843,0.849,1.016,0.961,1.0,11,1978.7,2305.1,3108.3,3640.0,4150.1,4810.3,5305.1,5798.1,6448.4,0,0.0,0.0,0.0,,,
135,"Muonionjoki, Kaaresuvanto",4832500,5082500,5875,Torne,Muonio,Torne,FI,0.666,0.824,0.729,0.916,2.0,4,266.7,297.9,374.5,425.3,474.0,537.0,584.3,631.3,693.4,1,1.0,0.0,0.0,1.0,1.0,1.0
136,"Muonionjoki, Muonio",4887500,5042500,9250,Torne,Muonio,Torne,FI,0.618,0.803,0.692,0.89,2.0,4,380.9,420.8,518.9,584.0,646.3,727.0,787.5,847.8,927.3,1,0.0,1.0,0.0,0.0,,0.0
137,"Tengeliönjoki, Haapakoski",4937500,4867500,3000,Torne,Tengelionjoki,Torne,FI,0.649,0.701,1.115,1.145,2.0,2,102.9,116.3,149.3,171.2,192.1,219.3,239.6,259.9,286.6,1,0.0,1.0,0.0,0.0,,0.0
138,"Inarijoki, Karigasniemi",4942500,5212500,3050,Tana,Anarjohka,Tana,FI,0.698,0.787,0.789,1.031,2.0,4,159.7,185.3,248.4,290.2,330.2,382.1,420.9,459.6,510.7,0,0.0,0.0,0.0,,,
139,Onnelansuvanto,4972500,5282500,10650,Tana,Tana,Tana,FI,0.528,0.748,0.604,0.954,1.0,3,427.2,482.7,619.2,709.6,796.2,908.5,992.5,1076.3,1186.9,1,1.0,0.0,0.0,1.0,1.0,1.0
140,"Utsjoki, Patoniva",4977500,5262500,1500,Tana,Utsjoki,Tana,FI,0.613,0.671,0.935,0.808,2.0,2,74.8,85.1,110.7,127.6,143.8,164.8,180.5,196.2,216.9,0,0.0,0.0,0.0,,,
141,Kettujoki,4992500,5172500,2250,Paatsjoki,Kettujoki,Paatsjoki,FI,0.74,0.759,0.945,0.919,2.0,4,67.4,76.1,97.4,111.5,125.1,142.6,155.8,168.9,186.1,0,0.0,0.0,0.0,,,
142,Juutuanjoki,4997500,5162500,5250,Paatsjoki,Juutuanjoki,Paatsjoki,FI,0.829,0.85,0.948,0.938,1.0,3,163.2,184.8,237.9,273.1,306.9,350.5,383.3,415.9,458.9,0,0.0,0.0,0.0,,,
143,"Ivalojoki, Pajakoski",5022500,5137500,3300,Paatsjoki,Ivalo,Paatsjoki,FI,0.835,0.854,0.945,0.948,2.0,2,257.1,303.5,417.7,493.3,565.8,659.7,730.1,800.1,892.6,1,0.0,1.0,0.0,0.0,,0.0
145,Kallio 2,4907500,4957500,14450,Torne,Muonio,Torne,SE,0.698,0.827,0.802,0.852,2.0,4,621.0,704.8,911.2,1047.8,1178.8,1348.4,1475.5,1602.1,1769.2,0,0.0,0.0,0.0,,,
146,Pajala pumphus,4887500,4957500,16875,Torne,Torne,Torne,SE,0.837,0.891,0.902,1.071,1.0,5,586.0,665.5,861.3,990.9,1115.3,1276.2,1396.8,1517.0,1675.5,1,0.0,1.0,0.0,0.0,,0.0
147,Räktfors,4897500,4832500,17425,Kalix,Kalix,Kalix,SE,0.829,0.872,0.908,0.934,1.0,1,840.3,920.3,1117.2,1247.5,1372.6,1534.4,1655.7,1776.5,1935.9,0,0.0,0.0,0.0,,,
148,Granåker,4792500,4602500,11850,Vindel,Vindel,Umealven,SE,0.862,0.871,0.994,0.953,2.0,2,568.6,636.4,803.3,913.9,1019.9,1157.1,1259.9,1362.4,1497.6,0,0.0,0.0,0.0,,,
149,Sorsele2,4667500,4737500,6175,Vindel,Vindel,Umealven,SE,0.842,0.862,0.956,0.936,2.0,2,462.2,521.7,668.2,765.2,858.2,978.6,1068.9,1158.8,1277.4,0,0.0,0.0,1.0,,0.0,0.0
150,Klein Badelmeusel,4642500,3187500,2650,Neisse,Lusatian Neisse,Oder,DE,0.747,0.755,0.953,1.046,2.0,4111,78.8,99.1,149.1,182.2,214.0,255.1,285.9,316.6,357.1,0,0.0,0.0,0.0,,,
151,Guben 2,4647500,3212500,4050,Neisse,Lusatian Neisse,Oder,DE,0.716,0.75,0.89,1.076,2.0,4111,88.3,110.1,163.8,199.3,233.4,277.5,310.6,343.5,387.0,0,0.0,0.0,0.0,,,
152,Sachsenhausen Sohlabsturz,4542500,3297500,2575,Havel,Havel,Elbe,DE,0.639,0.657,0.907,0.935,2.0,2311,27.3,34.6,52.6,64.6,76.0,90.8,101.9,113.0,127.6,1,1.0,0.0,1.0,1.0,0.5,0.6212121212121212
153,Lobith,4052500,3202500,159675,Rhine,Rhine,Rhine,NL,0.897,0.919,1.052,1.038,,3311,5597.2,6252.0,7863.4,8930.4,9953.8,11278.5,12271.2,13260.2,14565.1,1,1.0,0.0,0.0,1.0,1.0,1.0
154,Borgharen-Dorp,4022500,3097500,22050,Meuse,Meuse,Rhine,NL,,,,,,2331,1191.1,1378.6,1840.0,2145.4,2438.4,2817.7,3101.9,3385.1,3758.7,1,1.0,0.0,1.0,1.0,0.5,0.6212121212121212
155,Fischerau / Ager,4602500,2777500,1225,Traun,Ager,Danube,AT,0.619,0.694,0.807,1.12,,191812,165.8,202.5,292.7,352.5,409.8,484.0,539.6,595.0,668.1,0,0.0,0.0,0.0,,,
156,Achleiten / Donau,4582500,2837500,76825,Danube,Danube,Danube,AT,0.851,0.891,1.084,1.059,,192013,3652.6,4080.4,5133.4,5830.5,6499.2,7364.8,8013.5,8659.7,9512.4,1,0.0,1.0,0.0,0.0,,0.0
158,Kienstock,4727500,2827500,95975,Danube,Danube,Danube,AT,0.85,0.875,1.065,1.05,,191311,4937.9,5700.6,7577.7,8820.4,10012.5,11555.5,12711.8,13863.9,15383.8,1,0.0,1.0,0.0,0.0,,0.0
159,Korneuburg,4792500,2817500,101800,Danube,Danube,Danube,AT,0.838,0.859,1.066,1.045,,191111,4908.3,5692.9,7624.0,8902.5,10128.9,11716.4,12905.9,14091.2,15654.9,1,0.0,1.0,0.0,0.0,,0.0
160,Linz,4632500,2807500,79650,Danube,Danube,Danube,AT,0.903,0.938,1.069,1.03,,192013,3719.5,4174.4,5294.1,6035.4,6746.4,7666.8,8356.5,9043.7,9950.4,1,0.0,1.0,0.0,0.0,,0.0
161,Wildungsmauer,4832500,2802500,103800,Danube,Danube,Danube,AT,0.832,0.868,1.083,1.062,,191111,4918.8,5703.3,7633.9,8912.1,10138.2,11725.2,12914.5,14099.4,15662.7,1,0.0,1.0,0.0,0.0,,0.0
162,Ybbs,4692500,2797500,92525,Danube,Danube,Danube,AT,,,,,,191511,4679.7,5358.9,7030.5,8137.2,9198.8,10572.9,11602.6,12628.5,13982.1,1,0.0,1.0,0.0,0.0,,0.0
163,Amlach,4587500,2637500,4900,Drava,Drava,Danube,AT,0.762,0.864,0.965,1.192,,143511,338.8,387.5,507.2,586.5,662.6,761.0,834.8,908.3,1005.3,0,0.0,0.0,0.0,,,
164,Lavamünd Ort,4692500,2627500,11100,Drava,Drava,Danube,AT,0.526,0.673,0.861,1.313,,143171,843.0,1006.0,1407.1,1672.7,1927.4,2257.2,2504.3,2750.5,3075.3,0,0.0,0.0,0.0,,,
165,Lienz-Peggetz,4532500,2637500,1975,Drava,Drava,Danube,AT,,,,,,143911,162.5,190.0,257.6,302.4,345.3,400.9,442.6,484.1,538.9,4,0.0,4.0,0.0,0.0,,0.0
166,Oberdrauburg-OWF,4547500,2632500,2275,Drava,Drava,Danube,AT,0.877,0.894,0.946,1.03,,143911,182.2,211.4,283.4,331.0,376.7,435.9,480.2,524.4,582.7,4,0.0,4.0,0.0,0.0,,0.0
167,Sachsenburg (Brücke),4577500,2637500,2650,Drava,Drava,Danube,AT,,,,,,143911,198.0,229.4,306.7,357.8,406.8,470.3,517.9,565.3,627.9,4,0.0,4.0,0.0,0.0,,0.0
168,Admont (Enns),4662500,2727500,2650,Enns,Enns,Danube,AT,0.889,0.891,0.987,0.983,,191611,268.1,313.9,426.5,501.0,572.5,665.0,734.4,803.5,894.7,1,0.0,1.0,0.0,0.0,,0.0
169,Steyr (Ortskai),4652500,2782500,5975,Enns,Enns,Danube,AT,0.731,0.765,0.873,0.964,,191611,662.5,783.3,1080.5,1277.4,1466.2,1710.5,1893.6,2076.1,2316.8,1,0.0,1.0,0.0,0.0,,0.0
170,Trautenfels,4622500,2717500,1450,Enns,Enns,Danube,AT,0.705,0.827,0.84,1.176,,191611,150.1,175.1,236.5,277.1,316.1,366.6,404.4,442.1,491.9,1,0.0,1.0,0.0,0.0,,0.0
175,Gumisch,4662500,2622500,2175,Drava,Gurk,Danube,AT,0.822,0.839,1.042,0.937,,143211,62.8,73.6,100.3,117.9,134.8,156.7,173.1,189.4,211.0,0,0.0,0.0,0.0,,,
176,Launsdorf,4667500,2637500,1275,Drava,Gurk,Danube,AT,0.681,0.714,1.134,0.958,,143211,27.2,33.6,49.2,59.6,69.5,82.4,92.0,101.6,114.3,1,0.0,1.0,0.0,0.0,,0.0
177,Mölbling,4662500,2642500,925,Drava,Gurk,Danube,AT,,,,,,143211,20.4,24.8,35.9,43.2,50.1,59.2,66.0,72.7,81.7,1,0.0,1.0,0.0,0.0,,0.0
178,Brixlegg,4457500,2702500,8550,Inn,Inn,Danube,AT,,,,,,203311,565.2,630.2,790.2,896.1,997.7,1129.2,1227.7,1325.9,1455.5,3,0.0,3.0,0.0,0.0,,0.0
179,Innsbruck (oberh. Sill),4422500,2682500,5850,Inn,Inn,Danube,AT,0.739,0.903,0.758,0.989,,203331,374.1,425.6,552.4,636.4,716.9,821.2,899.3,977.1,1079.8,1,0.0,1.0,0.0,0.0,,0.0
180,Jenbach-Rotholz,4452500,2697500,7300,Inn,Inn,Danube,AT,0.805,0.906,0.84,0.938,,203331,459.6,515.9,654.5,746.3,834.4,948.3,1033.7,1118.8,1231.0,2,0.0,2.0,0.0,0.0,,0.0
182,Kirchbichl-Bichlwang,4477500,2712500,9525,Inn,Inn,Danube,AT,0.857,0.901,0.931,0.923,,203311,647.1,715.5,883.8,995.2,1102.1,1240.5,1344.2,1447.5,1583.8,3,0.0,3.0,0.0,0.0,,0.0
183,Magerbach,4387500,2682500,5175,Inn,Inn,Danube,AT,0.681,0.899,0.698,1.013,,203331,341.2,392.2,517.7,600.8,680.5,783.6,860.9,937.9,1039.5,1,0.0,1.0,0.0,0.0,,0.0
184,Perjen,4362500,2672500,3650,Inn,Inn,Danube,AT,0.813,0.835,1.003,0.913,,203331,266.3,313.5,429.7,506.6,580.4,675.9,747.5,818.8,912.9,0,0.0,0.0,0.0,,,
186,Telfs (Fussgängersteg),4397500,2687500,5300,Inn,Inn,Danube,AT,,,,,,203331,347.2,398.2,523.7,606.8,686.5,789.6,867.0,944.0,1045.6,1,0.0,1.0,0.0,0.0,,0.0
187,Lienz,4527500,2642500,1200,Drava,Isel,Danube,AT,0.804,0.894,0.838,0.973,,143921,124.5,146.7,201.2,237.4,272.0,316.9,350.5,383.9,428.1,5,0.0,5.0,0.0,0.0,,0.0
188,Stiefern,4737500,2847500,1450,Kamp,Kamp,Danube,AT,0.584,0.617,1.151,1.06,,191211,23.2,36.6,69.6,91.4,112.3,139.4,159.7,179.9,206.6,0,0.0,0.0,0.0,,,
189,Lechaschau,4367500,2702500,1000,Lech,Lech,Danube,AT,0.849,0.852,1.011,1.027,,212013,151.8,177.2,239.7,281.1,320.8,372.2,410.7,449.1,499.7,2,0.0,2.0,0.0,0.0,,0.0
196,Möllbrücke,4572500,2647500,1025,Drava,Moell,Danube,AT,,,,,,143811,79.8,91.4,120.0,138.9,157.0,180.4,198.0,215.5,238.6,2,2.0,0.0,2.0,1.0,0.5,0.6212121212121212
197,Bruck un der Mur unter Mür,4717500,2712500,6325,Drava,Mur,Danube,AT,0.808,0.846,1.044,1.105,,142511,342.3,410.0,576.8,687.1,793.0,930.1,1032.8,1135.1,1270.1,1,0.0,1.0,0.0,0.0,,0.0
198,Gestüthof,4642500,2677500,1725,Drava,Mur,Danube,AT,0.712,0.719,1.05,1.038,,142511,140.2,175.5,262.4,319.9,375.1,446.5,500.0,553.3,623.6,1,0.0,1.0,0.0,0.0,,0.0
