station_id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_5
3137,L'Iton à Normanville,3677500.0,2922500.0,1125.0,Eure,Iton,Seine,FR,3.0,221,11.868577462788188,14.409296185236194,20.661933603497225,24.801723634319636,28.772709622235034,33.91274366281307,37.76447586405726,41.602153741502,46.66524098421984,0
3133,L'Eure à Charpont,3692500.0,2877500.0,2000.0,Eure,Eure,Seine,FR,2.0,251,20.59989918928506,24.178193227155262,32.98427435571491,38.81466630522338,44.40731824244095,51.64643251327564,57.07112996184053,62.47603360064067,69.60677764316806,1
2955,L Epte a Fourges,3707500.0,2922500.0,1525.0,"Seine, below Oise",Epte,Seine,FR,2.0,321,22.323460471209867,27.505942295933515,40.25988451331642,48.704104018353874,56.80400210104098,67.28848932837577,75.14513711480123,82.9731173131911,93.30065077076861,1
1935,La Seine à Poissy,3732500.0,2907500.0,61750.0,"Seine, below Oise",Seine,Seine,FR,1.0,331,1394.9464862760838,1574.0599754208092,2014.8532416909677,2306.6967386494653,2586.640027670864,2948.9979003453873,3220.53413445131,3491.0795784508537,3848.012919349592,0
2914,Le Therain a Maysel,3767500.0,2932500.0,1200.0,Oise,Therain,Seine,FR,3.0,421,17.713928228380233,21.022034213739165,29.163190133469993,34.55334373768231,39.72370848460806,46.41621530338788,51.43130738593792,56.428100239899464,63.02041959585371,1
1934,L'Oise à Sempigny,3812500.0,2962500.0,4275.0,Oise,Oise,Seine,FR,2.0,431,98.48078521096507,114.6553918306627,154.46064444773725,180.81518524955504,206.09509352093485,238.8173417114391,263.3380620135747,287.76931032624776,320.0017033529207,0
3145,L'Aire à Chevières,3952500.0,2927500.0,1025.0,Oise,Aire,Seine,FR,3.0,441,54.214060320959916,60.927666649655244,77.44966326871761,88.38866265689876,98.88161349954163,112.46366205912602,122.64149617127725,132.78219307639648,146.1609170788299,1
3144,La Marne à Châlons-en-Champagne,3907500.0,2887500.0,6250.0,Marne,Marne,Seine,FR,2.0,611,241.90899151436005,266.84706291363455,328.21895622582696,368.85248974313924,407.8291506451133,458.28044018224523,496.08658212028814,533.754775796966,583.4508047371538,1
2916,L Essonne a Ballancourt-sur-Essonne,3762500.0,2857500.0,1875.0,"Seine, below Yonne",Essonne,Seine,FR,2.0,721,26.47519347558775,30.18270943985542,39.30680210000014,45.347745354514345,51.14236315852466,58.64290152743191,64.26349954956851,69.8635889536542,77.25184355067226,0
1929,Le Loing àÉpisy,3787500.0,2827500.0,3900.0,Loing,Loing,Seine,FR,2.0,811,73.04822766345885,90.80892729746175,134.51751027632164,163.4563954176229,191.21526882579215,227.14628310796246,254.07152205413036,280.89851532620776,316.2916389113408,1
1006,La Cure à Arcy-sur-Cure,3852500.0,2737500.0,1175.0,Yonne,Cure,Seine,FR,3.0,1061,56.18578633845011,65.558140909892,88.62324228173684,103.89434635059033,118.54275601048025,137.50361976605654,151.7121189538448,165.8687737147996,184.54579153878535,1
3125,L'Aube à Arcis-sur-Aube,3887500.0,2842500.0,3575.0,"Seine, headwaters",Aube,Seine,FR,2.0,1121,73.19028533745313,81.49736700613344,101.9408616831416,115.47623400648783,128.45968810368709,145.26543766487345,157.85898203439427,170.4065746759381,186.96074056974697,0
3122,La Seine à Bar-sur-Seine,3902500.0,2792500.0,2325.0,"Seine, headwaters",Seine,Seine,FR,1.0,1131,73.73010776700472,83.29803974322915,106.84445161532939,122.43422511556045,137.38831014481832,156.74483931162973,171.24983404659562,185.7019024922809,204.7686625787097,0
