"ID","Timestamp","Variable","Value","Ver.Nº","Date of the last version","Outlier flag","AI","AO"
122559028,"2018-01-01 00:00:00","D","0.000",1,"2018-07-11 13:24:23",,"60.00","0.00"
122559034,"2018-01-01 01:00:00","D","0.000",1,"2018-07-11 13:24:23",,"60.00","0.00"
122559040,"2018-01-01 02:00:00","D","0.000",1,"2018-07-11 13:24:23",,"60.00","0.00"
122559046,"2018-01-01 03:00:00","D","0.000",1,"2018-07-11 13:24:24",,"60.00","0.00"
122559052,"2018-01-01 04:00:00","D","0.000",1,"2018-07-11 13:24:24",,"60.00","0.00"
122559058,"2018-01-01 05:00:00","D","0.000",1,"2018-07-11 13:24:24",,"60.00","0.00"
122559064,"2018-01-01 06:00:00","D","0.000",1,"2018-07-11 13:24:24",,"60.00","0.00"
122559070,"2018-01-01 07:00:00","D","0.000",1,"2018-07-11 13:24:25",,"60.00","0.00"
122559076,"2018-01-01 08:00:00","D","0.000",1,"2018-07-11 13:24:25",,"60.00","0.00"
122559082,"2018-01-01 09:00:00","D","0.000",2,"2020-03-20 13:30:26",,"60.00","0.00"
122559088,"2018-01-01 10:00:00","D","0.000",2,"2020-03-20 13:30:26",,"60.00","0.00"
122559094,"2018-01-01 11:00:00","D","0.750",2,"2020-03-20 13:30:26",,"60.00","0.00"
122559100,"2018-01-01 12:00:00","D","0.860",2,"2020-03-20 13:30:26",,"60.00","0.00"
122559106,"2018-01-01 13:00:00","D","0.740",2,"2020-03-20 13:30:26",,"60.00","0.00"
122559112,"2018-01-01 14:00:00","D","0.400",2,"2020-03-20 13:30:26",,"60.00","0.00"
122559118,"2018-01-01 15:00:00","D","0.580",2,"2020-03-20 13:30:26",,"60.00","0.00"
122559124,"2018-01-01 16:00:00","D","0.350",2,"2020-03-20 13:30:26",,"60.00","0.00"
122559130,"2018-01-01 17:00:00","D","0.200",2,"2020-03-20 13:30:26",,"60.00","0.00"
122559136,"2018-01-01 18:00:00","D","0.210",2,"2020-03-20 13:30:26",,"60.00","0.00"
122559142,"2018-01-01 19:00:00","D","0.150",2,"2020-03-20 13:30:26",,"60.00","0.00"
122559148,"2018-01-01 20:00:00","D","0.110",2,"2020-03-20 13:30:26",,"60.00","0.00"
122559154,"2018-01-01 21:00:00","D","0.100",2,"2020-03-20 13:30:26",,"60.00","0.00"
122559160,"2018-01-01 22:00:00","D","0.400",2,"2020-03-20 13:30:26",,"60.00","0.00"
122559166,"2018-01-01 23:00:00","D","0.830",2,"2020-03-20 13:30:26",,"60.00","0.00"
122559172,"2018-01-02 00:00:00","D","0.910",2,"2020-03-20 13:30:27",,"60.00","0.00"
122559178,"2018-01-02 01:00:00","D","0.800",2,"2020-03-20 13:30:27",,"60.00","0.00"
122559184,"2018-01-02 02:00:00","D","0.760",2,"2020-03-20 13:30:27",,"60.00","0.00"
122559190,"2018-01-02 03:00:00","D","0.750",2,"2020-03-20 13:30:27",,"60.00","0.00"
122559196,"2018-01-02 04:00:00","D","0.630",2,"2020-03-20 13:30:27",,"60.00","0.00"
122559202,"2018-01-02 05:00:00","D","0.490",2,"2020-03-20 13:30:27",,"60.00","0.00"
122559208,"2018-01-02 06:00:00","D","0.340",2,"2020-03-20 13:30:27",,"60.00","0.00"
122559214,"2018-01-02 07:00:00","D","0.310",2,"2020-03-20 13:30:27",,"60.00","0.00"
122559220,"2018-01-02 08:00:00","D","0.540",2,"2020-03-20 13:30:27",,"60.00","0.00"
122559226,"2018-01-02 09:00:00","D","0.740",2,"2020-03-20 13:30:27",,"60.00","0.00"
122559232,"2018-01-02 10:00:00","D","0.890",2,"2020-03-20 13:30:27",,"60.00","0.00"
122559238,"2018-01-02 11:00:00","D","0.960",2,"2020-03-20 13:30:27",,"60.00","0.00"
122559244,"2018-01-02 12:00:00","D","0.810",2,"2020-03-20 13:30:27",,"60.00","0.00"
122559250,"2018-01-02 13:00:00","D","0.690",2,"2020-03-20 13:30:27",,"60.00","0.00"
122559256,"2018-01-02 14:00:00","D","0.580",2,"2020-03-20 13:30:27",,"60.00","0.00"
122559262,"2018-01-02 15:00:00","D","0.470",2,"2020-03-20 13:30:27",,"60.00","0.00"
