"ID","Timestamp","Variable","Value","Ver.Nº","Date of the last version","Outlier flag","AI","AO"
161104241,"2018-01-01 00:00:00","D","18.100",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104242,"2018-01-01 01:00:00","D","18.200",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104243,"2018-01-01 02:00:00","D","18.225",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104244,"2018-01-01 03:00:00","D","17.900",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104245,"2018-01-01 04:00:00","D","17.725",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104246,"2018-01-01 05:00:00","D","17.725",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104247,"2018-01-01 06:00:00","D","17.400",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104248,"2018-01-01 07:00:00","D","16.900",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104249,"2018-01-01 08:00:00","D","16.850",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104250,"2018-01-01 09:00:00","D","16.550",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104251,"2018-01-01 10:00:00","D","16.250",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104252,"2018-01-01 11:00:00","D","16.100",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104253,"2018-01-01 12:00:00","D","15.950",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104254,"2018-01-01 13:00:00","D","15.900",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104255,"2018-01-01 14:00:00","D","15.900",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104256,"2018-01-01 15:00:00","D","15.625",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104257,"2018-01-01 16:00:00","D","15.200",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104258,"2018-01-01 17:00:00","D","15.250",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104259,"2018-01-01 18:00:00","D","15.100",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104260,"2018-01-01 19:00:00","D","15.000",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104261,"2018-01-01 20:00:00","D","14.950",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104262,"2018-01-01 21:00:00","D","14.250",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104263,"2018-01-01 22:00:00","D","13.800",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104264,"2018-01-01 23:00:00","D","13.375",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104265,"2018-01-02 00:00:00","D","13.625",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104266,"2018-01-02 01:00:00","D","13.425",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104267,"2018-01-02 02:00:00","D","13.400",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104268,"2018-01-02 03:00:00","D","13.375",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104269,"2018-01-02 04:00:00","D","13.100",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104270,"2018-01-02 05:00:00","D","12.775",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104271,"2018-01-02 06:00:00","D","12.350",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104272,"2018-01-02 07:00:00","D","11.675",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104273,"2018-01-02 08:00:00","D","11.375",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104274,"2018-01-02 09:00:00","D","10.675",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104275,"2018-01-02 10:00:00","D","10.725",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104276,"2018-01-02 11:00:00","D","9.998",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104277,"2018-01-02 12:00:00","D","6.645",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104278,"2018-01-02 13:00:00","D","4.760",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104279,"2018-01-02 14:00:00","D","5.808",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104280,"2018-01-02 15:00:00","D","7.025",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104281,"2018-01-02 16:00:00","D","7.850",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104282,"2018-01-02 17:00:00","D","9.305",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104283,"2018-01-02 18:00:00","D","9.088",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104284,"2018-01-02 19:00:00","D","8.675",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104285,"2018-01-02 20:00:00","D","8.533",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104286,"2018-01-02 21:00:00","D","8.698",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104287,"2018-01-02 22:00:00","D","8.908",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104288,"2018-01-02 23:00:00","D","9.143",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104289,"2018-01-03 00:00:00","D","10.258",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104290,"2018-01-03 01:00:00","D","12.500",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104291,"2018-01-03 02:00:00","D","12.150",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104292,"2018-01-03 03:00:00","D","11.850",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104293,"2018-01-03 04:00:00","D","12.425",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104294,"2018-01-03 05:00:00","D","13.375",1,"2021-06-19 02:25:35",,"60.00","0.00"
161104295,"2018-01-03 06:00:00","D","15.275",1,"2021-06-19 02:25:35",,"60.00","0.00"
