"ID","Timestamp","Variable","Value","Ver.Nº","Date of the last version","Outlier flag","AI","AO"
146472222,"2018-01-01 00:00:00","W","0.254",2,"2021-05-24 23:05:50",,"60.00","60.00"
146043031,"2018-01-01 00:00:00","D","0.879",2,"2021-05-24 19:50:03",,"60.00","60.00"
147470749,"2018-01-01 01:00:00","W","0.254",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015281,"2018-01-01 01:00:00","D","0.885",1,"2021-05-24 19:50:03",,"60.00","60.00"
147470750,"2018-01-01 02:00:00","W","0.254",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015282,"2018-01-01 02:00:00","D","0.886",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470751,"2018-01-01 03:00:00","W","0.255",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015283,"2018-01-01 03:00:00","D","0.894",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470752,"2018-01-01 04:00:00","W","0.254",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015284,"2018-01-01 04:00:00","D","0.885",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470753,"2018-01-01 05:00:00","W","0.255",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015285,"2018-01-01 05:00:00","D","0.892",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470754,"2018-01-01 06:00:00","W","0.254",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015286,"2018-01-01 06:00:00","D","0.886",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470755,"2018-01-01 07:00:00","W","0.255",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015287,"2018-01-01 07:00:00","D","0.894",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470756,"2018-01-01 08:00:00","W","0.256",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015288,"2018-01-01 08:00:00","D","0.906",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470757,"2018-01-01 09:00:00","W","0.257",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015289,"2018-01-01 09:00:00","D","0.929",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470758,"2018-01-01 10:00:00","W","0.261",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015290,"2018-01-01 10:00:00","D","0.970",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470759,"2018-01-01 11:00:00","W","0.261",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015291,"2018-01-01 11:00:00","D","0.983",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470760,"2018-01-01 12:00:00","W","0.262",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015292,"2018-01-01 12:00:00","D","0.984",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470761,"2018-01-01 13:00:00","W","0.263",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015293,"2018-01-01 13:00:00","D","1.011",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470762,"2018-01-01 14:00:00","W","0.263",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015294,"2018-01-01 14:00:00","D","1.007",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470763,"2018-01-01 15:00:00","W","0.262",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015295,"2018-01-01 15:00:00","D","0.985",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470764,"2018-01-01 16:00:00","W","0.260",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015296,"2018-01-01 16:00:00","D","0.965",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470765,"2018-01-01 17:00:00","W","0.263",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015297,"2018-01-01 17:00:00","D","1.011",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470766,"2018-01-01 18:00:00","W","0.263",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015298,"2018-01-01 18:00:00","D","1.006",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470767,"2018-01-01 19:00:00","W","0.263",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015299,"2018-01-01 19:00:00","D","1.005",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470768,"2018-01-01 20:00:00","W","0.263",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015300,"2018-01-01 20:00:00","D","1.004",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470769,"2018-01-01 21:00:00","W","0.263",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015301,"2018-01-01 21:00:00","D","1.010",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470770,"2018-01-01 22:00:00","W","0.263",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015302,"2018-01-01 22:00:00","D","1.004",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470771,"2018-01-01 23:00:00","W","0.263",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015303,"2018-01-01 23:00:00","D","1.007",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470772,"2018-01-02 00:00:00","W","0.263",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015304,"2018-01-02 00:00:00","D","1.010",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470773,"2018-01-02 01:00:00","W","0.263",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015305,"2018-01-02 01:00:00","D","1.006",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470774,"2018-01-02 02:00:00","W","0.263",1,"2021-05-24 23:05:51",,"60.00","60.00"
147015306,"2018-01-02 02:00:00","D","1.004",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470775,"2018-01-02 03:00:00","W","0.263",1,"2021-05-24 23:05:52",,"60.00","60.00"
147015307,"2018-01-02 03:00:00","D","1.010",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470776,"2018-01-02 04:00:00","W","0.263",1,"2021-05-24 23:05:52",,"60.00","60.00"
147015308,"2018-01-02 04:00:00","D","1.003",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470777,"2018-01-02 05:00:00","W","0.263",1,"2021-05-24 23:05:52",,"60.00","60.00"
147015309,"2018-01-02 05:00:00","D","1.007",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470778,"2018-01-02 06:00:00","W","0.262",1,"2021-05-24 23:05:52",,"60.00","60.00"
147015310,"2018-01-02 06:00:00","D","0.997",1,"2021-05-24 19:50:04",,"60.00","60.00"
147470779,"2018-01-02 07:00:00","W","0.263",1,"2021-05-24 23:05:52",,"60.00","60.00"
147015311,"2018-01-02 07:00:00","D","0.998",1,"2021-05-24 19:50:04",,"60.00","60.00"
