model,OF,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8,f1,f1.25
COS,f0.8,0.525,1/1,273,405,200,678,0.403,0.577,0.494,0.474,0.457
COS,f1,0.525,1/1,273,405,200,678,0.403,0.577,0.494,0.474,0.457
COS,f1.25,0.375,1/1,324,354,428,678,0.478,0.431,0.448,0.453,0.458
DWD,f0.8,0.050,3/3,266,412,265,678,0.392,0.501,0.452,0.440,0.429
DWD,f1,0.050,3/4,282,396,313,678,0.416,0.474,0.449,0.443,0.437
DWD,f1.25,0.050,2/2,337,341,540,678,0.497,0.384,0.422,0.433,0.446
EUD,f0.8,0.050,3/3,250,428,215,678,0.369,0.538,0.456,0.437,0.420
EUD,f1,0.050,3/3,250,428,215,678,0.369,0.538,0.456,0.437,0.420
EUD,f1.25,0.050,3/3,250,428,215,678,0.369,0.538,0.456,0.437,0.420
EUE,f0.8,0.675,1/1,247,431,111,678,0.364,0.690,0.512,0.477,0.447
EUE,f1,0.425,1/1,300,378,241,678,0.442,0.555,0.505,0.492,0.480
EUE,f1.25,0.400,1/1,307,371,266,678,0.453,0.536,0.500,0.491,0.482
