model,window,KGE,OF,leadtime,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8
COS,1,0.500,f0.8,12,0.875,1/1,583,291,227,874,0.667,0.720,0.698
COS,1,0.500,f0.8,48,0.625,1/1,410,464,208,874,0.469,0.663,0.571
DWD,1,0.500,f0.8,12,0.050,1/1,610,264,486,874,0.698,0.557,0.604
DWD,1,0.500,f0.8,48,0.050,3/3,397,477,340,874,0.454,0.539,0.502
DWD,1,0.500,f0.8,144,0.050,2/2,254,620,456,874,0.291,0.358,0.328
EUD,1,0.500,f0.8,12,0.050,1/1,607,267,365,874,0.695,0.624,0.650
EUD,1,0.500,f0.8,48,0.050,3/3,370,504,245,874,0.423,0.602,0.517
EUD,1,0.500,f0.8,144,0.050,2/2,239,635,318,874,0.273,0.429,0.351
EUD,1,0.500,f0.8,180,0.050,2/2,213,661,421,874,0.244,0.336,0.293
EUE,1,0.500,f0.8,12,0.800,1/1,591,283,233,874,0.676,0.717,0.701
EUE,1,0.500,f0.8,48,0.625,1/1,413,461,154,874,0.473,0.728,0.601
EUE,1,0.500,f0.8,144,0.450,1/1,231,643,151,874,0.264,0.605,0.402
EUE,1,0.500,f0.8,180,0.175,2/2,251,623,383,874,0.287,0.396,0.345
