station_id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_5,f1_current,f1_model_mean,f1_weighted_mean
4586, Río Martín en Alcaine,3417500.000,2047500.000,550.000,Martin,Martin,Ebro,ES,2.000,3411.000,1.752,5.173,13.593,19.168,24.515,31.437,36.623,41.791,48.609,0,,,
628,Guadalope A.A. Santolea,3447500.000,2022500.000,1225.000,Guadalope,Guadalope,Ebro,ES,2.000,3231.000,5.783,9.041,17.060,22.370,27.463,34.055,38.995,43.917,50.411,0,,,
607,Guadalope Cola Santolea,3437500.000,2017500.000,975.000,Guadalope,Guadalope,Ebro,ES,2.000,3231.000,11.274,19.767,40.669,54.508,67.782,84.965,97.841,110.670,127.595,0,,,
608,Bergantes En Zorita,3462500.000,2017500.000,1075.000,Guadalope,Bergantes,Ebro,ES,3.000,3221.000,10.428,35.761,98.103,139.379,178.971,230.220,268.624,306.888,357.369,0,,,
625,Guadalope En Caspe,3482500.000,2067500.000,3850.000,Guadalope,Guadalope,Ebro,ES,2.000,3211.000,18.740,54.840,143.681,202.501,258.922,331.955,386.682,441.209,513.148,0,,,
4611, Río Segre en Isòvol,3647500.000,2177500.000,700.000,Segre,Segre,Ebro,ES,2.000,2911.000,56.419,80.289,139.034,177.928,215.236,263.528,299.716,335.771,383.340,1,0.000,0.000,0.000
4553, Río Valira en La Seu D´Urgell,3617500.000,2182500.000,525.000,Segre,Valira,Ebro,ES,3.000,2811.000,42.756,61.524,107.714,138.295,167.630,205.600,234.054,262.404,299.806,0,,,
617,Segre A/Abajo E.Oliana,3597500.000,2147500.000,2675.000,Segre,Segre,Ebro,ES,2.000,2711.000,89.091,149.720,298.924,397.711,492.469,615.124,707.037,798.614,919.433,0,,,
2857,ESCALES,3557500.000,2182500.000,700.000,Segre,Noguera Ribagorzana,Ebro,ES,3.000,2411.000,25.009,28.843,38.280,44.529,50.522,58.280,64.093,69.885,77.527,0,,0.000,0.000
624,N. Ribagorzana A.A.Sta.Ana,3542500.000,2137500.000,1775.000,Segre,Noguera Ribagorzana,Ebro,ES,3.000,2411.000,20.456,25.020,36.254,43.692,50.827,60.061,66.982,73.877,82.973,0,0.000,0.000,0.000
605,Segre En Seros,3522500.000,2092500.000,12900.000,Segre,Segre,Ebro,ES,2.000,2311.000,173.671,237.052,393.032,496.305,595.366,723.591,819.677,915.413,1041.718,0,,,
4565, Río Cinca en Escalona,3512500.000,2207500.000,800.000,Segre,Cinca,Ebro,ES,3.000,2291.000,105.605,172.380,336.712,445.515,549.881,684.972,786.203,887.065,1020.134,0,,,
4559, Río Ara en Boltaña,3502500.000,2202500.000,700.000,Segre,Ara,Ebro,ES,4.000,2281.000,63.530,90.255,156.023,199.568,241.337,295.402,335.917,376.284,429.540,1,,,
2858,BARASONA-JOAQUIN COSTA,3522500.000,2167500.000,1550.000,Segre,Esera,Ebro,ES,4.000,2261.000,42.610,54.742,84.601,104.370,123.333,147.878,166.271,184.598,208.776,0,,0.000,
2806,Esera En Graus,3522500.000,2177500.000,900.000,Segre,Esera,Ebro,ES,4.000,2261.000,78.998,98.113,145.155,176.301,206.177,244.848,273.827,302.700,340.792,0,,,
654,Cinca Pte. Las Pilas,3512500.000,2162500.000,3825.000,Segre,Cinca,Ebro,ES,3.000,2251.000,108.248,146.085,239.200,300.851,359.988,436.534,493.895,551.046,626.447,0,,,
610,Rioalcanadre En P.Alcofea,3477500.000,2142500.000,1300.000,Segre,Alcanadre,Ebro,ES,4.000,2243.000,39.658,53.820,88.673,111.749,133.884,162.535,184.005,205.397,233.619,0,,,
622,Flumen En Albalatillo,3472500.000,2132500.000,1475.000,Segre,Flumen,Ebro,ES,5.000,2242.000,31.559,43.516,72.940,92.421,111.108,135.297,153.423,171.482,195.309,0,,,
4604, Clamor Amarga en Zaidín,3512500.000,2107500.000,750.000,Segre,Clamor Amarga,Ebro,ES,4.000,2221.000,5.583,13.409,32.669,45.420,57.652,73.485,85.349,97.170,112.766,0,,,
638,Matarraña En Nonaspe,3497500.000,2067500.000,1150.000,Matarranya,Matarranya,Ebro,ES,2.000,1211.000,29.705,62.585,143.502,197.075,248.464,314.983,364.828,414.492,480.015,1,,,
636,Ebro En Asco,3527500.000,2057500.000,83350.000,Ebro,Ebro,Ebro,ES,1.000,1111.000,1254.728,1389.381,1720.758,1940.159,2150.613,2423.024,2627.158,2830.547,3098.881,1,0.727,0.756,0.756
