approach,OF,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8,f1,f1.2
1D+1P,,0.300,3/3,280,468,182,748,0.374,0.606,0.488,0.463,0.444
1D+1P,f0.8,0.575,1/1,312,436,190,748,0.417,0.622,0.522,0.499,0.482
1D+1P,f1,0.400,1/1,368,380,332,748,0.492,0.526,0.512,0.508,0.505
1D+1P,f1.2,0.400,1/1,368,380,332,748,0.492,0.526,0.512,0.508,0.505
BW,f0.8,0.650,1/1,276,472,136,748,0.369,0.670,0.508,0.476,0.452
BW,f1,0.450,1/1,367,381,394,748,0.491,0.482,0.485,0.486,0.487
BW,f1.2,0.450,1/1,367,381,394,748,0.491,0.482,0.485,0.486,0.487
MM,f0.8,0.375,3/3,277,471,197,748,0.370,0.584,0.477,0.453,0.436
MM,f1,0.150,3/3,380,368,453,748,0.508,0.456,0.475,0.481,0.485
MM,f1.2,0.150,3/3,380,368,453,748,0.508,0.456,0.475,0.481,0.485
MW,f0.8,0.475,1/1,298,450,169,748,0.398,0.638,0.517,0.491,0.471
MW,f1,0.400,1/1,320,428,222,748,0.428,0.590,0.514,0.496,0.482
MW,f1.2,0.250,1/1,394,354,496,748,0.527,0.443,0.472,0.481,0.489
