station_id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_5
4551, Río Garona en Bossost,3557500.0,2232500.0,525.0,"Garonne, headwaters",Garonne,Garonne,ES,1.0,571.0,45.851963313556794,57.601193454404,86.5157188465098,105.65965059195425,124.02296954020208,147.79240231564614,165.60424731583828,183.35109988560714,206.7647019944477,0
2963,La Garonne [totale] a Saint-Gaudens [Valentine-recent],3562500.0,2267500.0,2350.0,"Garonne, headwaters",Garonne,Garonne,FR,1.0,571.0,176.2599749497916,222.65472915581492,336.83091623098267,412.42548687259057,484.93761394795115,578.7971245723472,649.131619754864,719.2094761790459,811.6639010132981,1
2934,Le Salat a Roquefort-sur-Garonne,3587500.0,2267500.0,1500.0,Salat,Salat,Garonne,FR,2.0,561.0,228.80964133717933,275.9234364691927,391.86916306850526,468.63532284781144,542.2712663522071,637.5854420693989,709.0100040366324,780.1739497749397,874.061263227364,1
2935,L Ariege a Auterive,3627500.0,2297500.0,3600.0,Ariege,Ariege,Garonne,FR,2.0,541.0,278.29976416519463,356.1831481389242,547.8519686944426,674.7534055565695,796.4803105140481,954.0433029395394,1072.1145932964826,1189.7550613481885,1344.959320809521,0
2936,La Save a Larra,3617500.0,2332500.0,1075.0,Save,Save,Garonne,FR,2.0,521.0,53.09068176018516,63.54654720501709,89.27813840519039,106.31469075933299,122.65656080032336,143.80943531386154,159.66053810218278,175.45380287905206,196.290016851725,2
2776,La Garonne a Verdun sur Garonne,3617500.0,2342500.0,13800.0,"Garonne, below Save",Garonne,Garonne,FR,1.0,511.0,1090.3196342310844,1302.1655334565835,1823.5123416251995,2168.6892925154325,2499.7913110069776,2928.368911413987,3249.5275129305646,3569.5142606575055,3991.6760136740927,1
2058,CORBES ROC COURBE,3802500.0,2382500.0,600.0,Tarn,Tarn,Garonne,FR,2.0,431.0,197.66234003646719,249.33054004354778,376.484529127075,460.67153393403,541.4257301526656,645.9537538592423,724.2827983100377,802.3260332351194,905.2892624972666,0
2937,Le Tarn a Marsal [Pecotte],3697500.0,2347500.0,4550.0,Tarn,Tarn,Garonne,FR,2.0,431.0,636.1872129190101,786.2329911645502,1155.491437296759,1399.9726588738508,1634.4849162499108,1938.036978512042,2165.506532942784,2392.1460891790894,2691.153948233511,0
3210,L'Aveyron à Montauban [Loubéjac],3627500.0,2372500.0,5300.0,Tarn,Aveyron,Garonne,FR,3.0,421.0,166.11912986741459,191.00867034475573,252.26113042109165,292.81558874403817,331.71639882109594,382.0695072457127,419.80207625609734,457.39696546037135,506.9962830686251,1
3211,La Garonne à Lamagistère,3587500.0,2377500.0,32325.0,"Garonne, below Tarn",Garonne,Garonne,FR,1.0,351.0,1948.140400909456,2293.365395100389,3142.954409943155,3705.456262948489,4245.021545204334,4943.433457598176,5466.794904519133,5988.246693433025,6676.203313153343,1
2926,Le Gers a Layrac,3572500.0,2377500.0,1075.0,Gers,Gers,Garonne,FR,2.0,341.0,50.15868317390865,58.19012640142426,77.95528261620508,91.04153585337966,103.5941841404256,119.84229976993716,132.01797597862833,144.14922519006905,160.15410498513225,4
2954,Le Lot a Lassouts [Castelnau],3752500.0,2407500.0,1775.0,Lot,Lot,Garonne,FR,2.0,251.0,138.0799296910935,206.29443137659823,374.16840417743646,485.31558136794496,591.9306222114967,729.9328566291388,833.3461114741019,936.3820287231966,1072.3183565822133,0
2961,La Truyere a Sainte-Genevieve-sur-Argence [Sarrans],3742500.0,2437500.0,2575.0,Lot,Truyere,Garonne,FR,3.0,241.0,290.21742115048227,412.1576278757243,712.2490518591349,910.9356863525411,1101.5206763363558,1348.213396764283,1533.0748758096481,1717.2618263704755,1960.2615333392519,0
1901,Le Lot à Faycelles,3687500.0,2417500.0,6850.0,Lot,Lot,Garonne,FR,2.0,231.0,564.5566849397038,754.0867207090367,1220.5148156670903,1529.330799777018,1825.554505958853,2208.9857086965185,2496.313438218787,2782.5927571205125,3160.283958329506,0
3212,Le Célé à Orniac [Les Amis du Célé],3667500.0,2417500.0,1175.0,Lot,Cele,Garonne,FR,3.0,221.0,156.66686010235856,180.4659873236737,239.03497100187187,277.8127344522653,315.0092961517049,363.1564298634377,399.23593125410093,435.18378460472036,482.6101511510965,2
2925,Le Dropt a Loubens,3527500.0,2447500.0,1175.0,Dropt,Dropt,Garonne,FR,2.0,121.0,49.84130651297532,59.86364963602833,84.52835457805077,100.85853539646106,116.52283690142161,136.79866844613122,151.99255094792457,167.1309935246935,187.10329394509512,0
