station_id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_5
1971,RETHEM,4282500.0,3297500.0,15500.0,Aller,Aller,Weser,DE,2.0,211,305.07736644764276,368.65861113583685,525.1302685942308,628.7281208798462,728.1016680262899,856.7305316435716,953.1197641064009,1049.157288451159,1175.860565761111,0
2155,GREENE,4317500.0,3192500.0,2875.0,Aller,Leine,Weser,DE,3.0,221,87.2297444995764,108.34409858851204,160.30593099146645,194.7091853904464,227.70961298215653,270.42528150660416,302.43466406213014,334.3272497575549,376.40346066645645,0
2023,CELLE,4332500.0,3277500.0,4675.0,Aller,Aller,Weser,DE,2.0,231,84.02032187056668,103.90066398628667,152.8256275811599,185.218210582516,216.28995389632317,256.5091384563051,286.64775758888277,316.6764059628441,356.2935055093792,0
5145,Nienburg,4267500.0,3282500.0,21975.0,"Weser, below Diemel",Weser,Weser,DE,1.0,311,694.5894795576297,786.5464992870526,1012.8501421704191,1162.6828450889118,1306.405970994074,1492.4408151912012,1631.8477518555624,1770.746016025211,1953.9959009325007,0
4416,Helmarshausen,4282500.0,3167500.0,1850.0,Diemel,Diemel,Weser,DE,2.0,411,49.27660162836169,60.35912409711529,87.63290063310312,105.69051386952874,123.01181002299492,145.4324511752664,162.23356665757424,178.97337769169013,201.05837971608423,0
2159,GUNTERSHAUSEN,4282500.0,3122500.0,6425.0,Fulda,Fulda,Weser,DE,2.0,611,218.776743283662,265.66443062320417,381.0537122956247,457.45145711545763,530.7340081456182,625.5907535538688,696.6725358747294,767.4949527120143,860.9316836306755,0
2158,SCHMITTLOTHEIM,4242500.0,3117500.0,1250.0,Fulda,Eder,Weser,DE,3.0,623,131.86008719854547,156.01937948021828,215.47471925649438,254.8393275682043,292.5988049479121,341.4745752671169,378.1000872604044,414.5919589126764,462.7360543072945,0
2024,AFFOLDERN,4262500.0,3112500.0,1625.0,Fulda,Eder,Weser,DE,3.0,623,89.19810404746309,117.6250143527113,187.5828422262698,233.90101151002358,278.33051151902293,335.8399419594972,378.93516727397343,421.87314535028895,478.52165415401464,0
2160,ROTENBURG,4302500.0,3097500.0,2550.0,Fulda,Fulda,Weser,DE,2.0,631,103.6048257198208,122.87002726732737,170.28114720043718,201.67143397382256,231.78175068208236,270.7564671187645,299.9625325160761,329.0620298867038,367.453291115962,0
2163,HELDRA,4337500.0,3112500.0,4325.0,Werra,Werra,Weser,DE,2.0,811,199.62793669386272,245.87942450274934,359.7030369982905,435.0641725896591,507.35238316039346,600.9220568376111,671.0393600144437,740.9008169300868,833.0697437037925,0
