station_id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter
187,Lienz,4527500.0,2642500.0,1200.0,Drava,Isel,Danube,AT,,143921
2707,EYVAZLI,7337500.0,2562500.0,2200.0,Aras,VOROTAN,Kura,AZ,4.0,22
3233,La Saône à Pagny-la-Ville [Lechatelet],3957500.0,2672500.0,11650.0,Saone,Saone,Rhone,FR,2.0,651
640,R.Alcanadre En Ballobar,3497500.0,2117500.0,3300.0,Segre,Alcanadre,Ebro,ES,4.0,2241
1531,Westy,3492500.0,3437500.0,2025.0,Mersey,Mersey,Mersey,UK,1.0,1
2830,QUINTO VERCELLESE,4192500.0,2477500.0,1025.0,Sesia,Cervo,Po,IT,,9231
3230,La Tille à Cessey-sur-Tille,3957500.0,2697500.0,1100.0,Saone,Tille,Rhone,FR,3.0,654
2009,HAUKIPUDAS,5037500.0,4757500.0,11725.0,Iijoki,KIIMINGINJOKI,Kiiminginjoki,FI,1.0,1
1826,STRZYŻÓW,5302500.0,3177500.0,9000.0,Narew,Bug,Vistula,PL,3.0,2419
3156,L'Arroux à Étang-sur-Arroux,3877500.0,2652500.0,1925.0,Loire,Arroux,Loire,FR,,9411
3187,La Vienne à Nouâtre et à Pouzay,3602500.0,2707500.0,20075.0,Vienne,Vienne,Loire,FR,,4111
538,RACIBÓRZ-MIEDONIA,4907500.0,3037500.0,6725.0,"Oder, headwaters",Oder,Oder,PL,1.0,9311
46,Emmerich,4057500.0,3197500.0,159550.0,Rhine,Rhine,Rhine,DE,,3311
47,Ruhrort,4092500.0,3157500.0,152875.0,Rhine,Rhine,Rhine,DE,,3311
503,SANDOMIERZ,5147500.0,3127500.0,32125.0,"Vistula, below Dunajec",Vistula,Vistula,PL,1.0,5111
258,Knjazevac,5307500.0,2352500.0,1175.0,Danube,Beli Timok,Danube,RS,,72011
309,Knappom,4437500.0,4177500.0,1650.0,"Glomma, headwaters",Flisa,Glomma,NO,2.0,312
2950,L Ognon a Pesmes,3982500.0,2697500.0,2100.0,Saone,Ognon,Rhone,FR,3.0,661
5174,Zújar Confluencia Guadamatilla,3002500.0,1862500.0,1625.0,Zujar,Zujar,Guadiana,ES,2.0,1031
2498,HIMMETLI,6582500.0,2032500.0,2475.0,Ceyhan,GOEKSUN (TRIB. SEYHAN),Ceyhan,TR,,1
622,Flumen En Albalatillo,3472500.0,2132500.0,1475.0,Segre,Flumen,Ebro,ES,5.0,2242
