station_id,version__origin__name,version__version,StationName,StationLon,StationLat,Alive,CAL_TYPE,Calibration ID,Catchment,Country code,DrainingArea.km2.LDD,DrainingArea.km2.Provider,EC_Catchments,EC_calib,Exclude,FixedRepPoint,HasD,HasHD,HasHWL,HasRTD,HasRTWL,HasWL,Height,LSFCalib,LisfloodX,LisfloodY,MdlStep,ModelFile,Notes,ObsID,PostProcess,Provider ID,RealTime,River
1048,EFAS,12,Stuvane,7.619074,61.044155,1,NRT_6h,,Laerdalselva,NO,975.0,994.19,Laerdalselva,3.0,0,True,1,1,0,1,0,0,73.0,True,4192500.0,4217500.0,6.0,ID_1048.mod,,1048,True,1002,True,Laerdalselva
1056,EFAS,12,Bulken (Vangsvatnet),6.292537,60.628683,1,NRT_6h,C390,Vosso,NO,1075.0,1092.04,Vosso,3.0,0,True,1,1,0,1,0,0,47.0,True,4117500.0,4177500.0,6.0,ID_1056.mod,,1056,True,1002,True,Vosso
1060,EFAS,12,Driva v/Elverhøy bru,8.694089,62.64874,1,NRT_6h,,Driva,NO,2425.0,2437.41,Driva,3.0,0,True,1,1,0,1,0,0,34.0,True,4252500.0,4392500.0,6.0,ID_1060.mod,,1060,True,1002,True,Driva
1099,EFAS,12,Gaulfoss,10.229018,63.108479,1,NRT_6h,C396,Gaula (Melhus),NO,3200.0,3086.41,Gaula,3.0,0,True,1,1,0,1,0,0,54.0,True,4332500.0,4447500.0,6.0,ID_1099.mod,,1099,True,1002,True,Gaula (Melhus)
1068,EFAS,12,Selfors bru,14.698448,66.996977,1,NRT_6h,,Beiarelva,NO,775.0,788.34,Beiarelva,3.0,0,True,1,1,0,1,0,0,10.0,True,4527500.0,4882500.0,6.0,ID_1068.mod,,1068,True,1002,True,Beiarelva
1075,EFAS,12,Rauma v/Horgheim,7.78144,62.473214,1,NRT_6h,,Rauma,NO,1125.0,1099.42,Rauma,3.0,0,True,1,1,0,1,0,0,61.0,True,4212500.0,4372500.0,6.0,ID_1075.mod,negative values,1075,True,1002,True,Rauma
1076,EFAS,12,Rathe,10.390233,63.384904,1,NRT_6h,,Nea,NO,3050.0,3057.88,Nea,3.0,0,True,1,1,0,1,0,0,14.0,True,4342500.0,4472500.0,6.0,ID_1076.mod,Dam strongly regulated,1076,True,1002,True,Nea
1082,EFAS,12,Øvrevatn,17.941075,68.857619,1,NRT_6h,,Salangs,NO,525.0,526.02,Salangs,3.0,0,True,1,1,0,1,0,0,8.0,True,4647500.0,5102500.0,6.0,ID_1082.mod,,1082,True,1002,True,Svartdalsbekken
1083,EFAS,12,Omnesfoss,8.993231,59.611714,1,NRT_6h,,Skien,NO,875.0,807.71,Skien,3.0,0,True,1,1,0,1,0,0,61.0,True,4262500.0,4057500.0,6.0,ID_1083.mod,,1083,True,1002,True,Heddola
1086,EFAS,12,Flaksvatn,8.203061,58.330464,1,NRT_6h,,Tovdal,NO,1825.0,1780.66,Tovdal,3.0,0,True,1,1,0,1,0,0,19.0,True,4217500.0,3917500.0,6.0,ID_1086.mod,,1086,True,1002,True,Tovdal
1088,EFAS,12,Fustvatn,13.307593,65.905237,1,NRT_6h,,Fusta,NO,550.0,525.69,Fusta,3.0,0,True,1,1,0,1,0,0,39.0,True,4472500.0,4757500.0,6.0,ID_1088.mod,,1088,True,1002,True,Fusta
1114,EFAS,12,Laksfors,13.291557,65.621554,1,NRT_6h,C399,Vefsna,NO,3575.0,3653.4,Vefsna,3.0,0,True,1,1,0,1,0,0,40.0,True,4472500.0,4727500.0,6.0,ID_1114.mod,,1114,True,1002,True,Vefsna
1101,EFAS,12,Masi,23.635036,69.420041,1,NRT_6h,C401,Altaelva,NO,5675.0,5620.81,Altaelva,3.0,0,True,1,1,0,1,0,0,0.0,True,4857500.0,5197500.0,6.0,ID_1101.mod,,1101,True,1002,True,Kautokeinoelva
1103,EFAS,12,Gjedlakleiv,6.066195,58.573402,1,NRT_6h,,Bjerkreim,NO,600.0,635.15,Bjerkreim,3.0,0,True,1,1,0,1,0,0,49.0,True,4087500.0,3942500.0,6.0,ID_1103.mod,,1103,True,1002,True,Bjerkreim
1107,EFAS,12,Malangsfoss,18.658337,69.034928,1,NRT_6h,C400,Malselv,NO,2975.0,3110.65,Malselv,3.0,0,True,1,1,0,1,0,0,23.0,True,4672500.0,5122500.0,6.0,ID_1107.mod,,1107,True,1002,True,Malselv
1110,EFAS,12,Grunnfoss,11.809693,63.79118,1,NRT_6h,,Verdal,NO,900.0,880.37,Verdal,3.0,0,True,1,1,0,1,0,0,38.0,True,4412500.0,4522500.0,6.0,ID_1110.mod,,1110,True,1002,True,Helgaa
1119,EFAS,12,Kjølemo,7.52813,58.120242,1,NRT_6h,C649,Mandal,NO,1750.0,1757.7,Mandal,3.0,0,True,1,1,0,1,0,0,10.0,True,4177500.0,3897500.0,6.0,ID_1119.mod,,1119,True,1002,True,Mandal
1131,EFAS,12,Holmfoss i Numedalslågen,9.993582,59.189643,1,NRT_6h,,Lagen,NO,5150.0,5201.8,Lagen,3.0,0,True,1,1,0,1,0,0,12.0,True,4317500.0,4017500.0,6.0,ID_1131.mod,,1131,True,1002,True,Lagen
1132,EFAS,12,Håkkadalbrua,11.503843,64.020191,1,NRT_6h,,Byaelva,NO,2125.0,2141.01,Byaelva,3.0,0,True,1,1,0,1,0,0,6.0,True,4397500.0,4547500.0,6.0,ID_1132.mod,,1132,True,1002,True,Byaelva
1140,EFAS,12,Hegra bru,11.1156,63.461762,1,NRT_6h,C650,Stjørdal,NO,1900.0,1873.48,Stjordal,3.0,0,True,1,1,0,1,0,0,10.0,True,4372500.0,4482500.0,6.0,ID_1140.mod,,1140,True,1002,True,Stjørdal
1141,EFAS,12,Heisel,7.951435,58.247549,1,NRT_6h,C391,Otra,NO,3600.0,3687.09,Otra,3.0,0,True,1,1,0,1,0,0,18.0,True,4197500.0,3902500.0,6.0,ID_1141.mod,,1141,True,1002,True,Otra
1181,EFAS,12,Zamora,-5.7189,41.514432,1,NRT_6h,C113,Douro,ES,46025.0,46225.45,Duero,3.0,0,True,1,1,0,1,1,1,628.0,True,3007500.0,2182500.0,6.0,ID_1181.mod,,1181,True,1039,True,Douro
1263,EFAS,12,Río Miño en Cela Brazo derecho,-7.60459,43.13946,1,NRT_6h,,Minho,ES,1075.0,1004.71,Minho,3.0,0,True,1,1,1,1,1,1,385.78,True,2897500.0,2392500.0,6.0,ID_1263.mod,,1263,True,1036,True,Minho
1281,EFAS,12,Río Limia en Ponteliñares,-7.883539,42.021176,1,NRT_6h,,Limia,ES,700.0,693.02,Lima,3.0,0,True,1,1,1,1,1,1,610.78,True,2852500.0,2277500.0,6.0,ID_1281.mod,,1281,True,1036,True,Limia
