station_id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_5
4015,Shkoder,5107500.0,2157500.0,5275.0,Bojana,Bojana,Drin,AL,2.0,2,518.8656242894001,606.0003275875065,820.4363851711937,962.4117139886289,1098.597858011908,1274.876852262953,1406.9731522484162,1538.5874550243889,1712.2275359860369,2
4016,Bahcallek,5112500.0,2152500.0,14100.0,Drin,Drin,Drin,AL,1.0,3,547.6233734830422,651.1055052526091,905.7721251767487,1074.3835868402978,1236.1197489844621,1445.4706209198894,1602.3496393128403,1758.656232519761,1964.873102015224,2
1653,Këpuz,5187500.0,2217500.0,2350.0,White Drin,White Drin,Drin,XK,2.0,4,106.67660798432635,133.30193949346892,198.82613254828522,242.20884979873676,283.8225937414495,337.68731677808955,378.0513467812828,418.2680952192279,471.3264582351804,5
