start;end;ID
01/01/2018 0:00;31/12/2022 23:45;1
01/01/2018 0:00;31/12/2022 23:45;2
01/01/2018 0:00;31/12/2022 23:45;3
01/01/2018 0:00;31/12/2022 23:45;4
01/01/2018 0:00;31/12/2022 23:45;5
01/01/2018 0:00;31/12/2022 23:45;6
01/01/2018 0:00;31/12/2022 23:45;8
01/01/2018 0:00;31/12/2022 23:45;9
01/01/2018 0:00;31/12/2022 23:45;10
01/01/2018 0:00;31/12/2022 23:45;11
01/01/2018 0:00;31/12/2022 23:45;12
01/01/2018 0:00;31/12/2022 23:45;13
01/01/2018 0:00;31/12/2022 23:45;14
01/01/2018 0:00;31/12/2022 23:45;15
01/01/2018 0:00;31/12/2022 23:45;16
01/01/2018 0:00;31/12/2022 23:45;17
01/01/2018 0:00;31/12/2022 23:45;18
01/01/2018 0:00;31/12/2022 23:59;19
01/01/2018 0:00;31/12/2022 23:45;21
01/01/2018 0:00;31/12/2022 23:45;26
01/01/2018 0:00;31/12/2022 23:45;27
01/01/2018 0:00;31/12/2022 23:45;28
01/01/2018 0:00;31/12/2022 23:45;29
01/01/2018 0:00;31/12/2022 23:45;30
01/01/2018 0:00;31/12/2022 23:45;31
01/01/2018 0:00;31/12/2022 23:45;32
01/01/2018 0:00;31/12/2022 23:45;33
01/01/2018 0:00;31/12/2022 23:45;34
01/01/2018 0:00;31/12/2022 23:45;35
01/01/2018 0:00;31/12/2022 23:45;36
01/01/2018 0:00;31/12/2022 23:45;38
01/01/2018 0:00;31/12/2022 23:45;39
01/01/2018 0:00;31/12/2022 23:45;40
01/01/2018 0:00;31/12/2022 23:45;42
01/01/2018 0:00;31/12/2022 23:45;43
01/01/2018 0:00;31/12/2022 23:45;45
01/01/2018 0:00;31/12/2022 23:45;46
01/01/2018 0:00;31/12/2022 23:45;47
01/01/2018 0:00;31/12/2022 23:45;48
01/01/2018 0:00;31/12/2022 23:45;49
01/01/2018 0:00;31/12/2022 23:45;50
01/01/2018 0:00;31/12/2022 23:45;51
01/01/2018 0:00;31/12/2022 23:45;52
01/01/2018 0:00;31/12/2022 23:45;53
01/01/2018 0:00;31/12/2022 23:45;54
01/01/2018 0:00;31/12/2022 23:45;57
01/01/2018 0:00;31/12/2022 23:45;58
01/01/2018 0:00;31/12/2022 23:45;59
01/01/2018 0:00;31/12/2022 23:45;60
01/01/2018 0:00;31/12/2022 23:45;62
01/01/2018 0:00;31/12/2022 23:45;63
01/01/2018 0:00;31/12/2022 23:45;64
01/01/2018 0:00;31/12/2022 23:45;67
01/01/2018 0:00;31/12/2022 23:45;68
01/01/2018 0:00;31/12/2022 23:45;71
01/01/2018 0:00;31/12/2022 23:45;73
01/01/2018 0:00;31/12/2022 23:45;74
01/01/2018 0:00;31/12/2022 23:45;75
01/01/2018 0:00;31/12/2022 23:45;76
01/01/2018 0:00;31/12/2022 23:45;77
01/01/2018 0:00;31/12/2022 23:45;78
01/01/2018 0:00;31/12/2022 23:45;79
01/01/2018 0:00;31/12/2022 23:45;80
01/01/2018 0:00;31/12/2022 23:45;81
01/01/2018 0:00;31/12/2022 23:45;82
01/01/2018 0:00;31/12/2022 23:45;83
01/01/2018 0:00;31/12/2022 23:45;85
01/01/2018 0:00;31/12/2022 23:45;86
01/01/2018 0:00;31/12/2022 23:45;87
11/09/2019 12:45;31/12/2022 23:45;88
01/01/2018 0:00;31/12/2022 23:45;89
01/01/2018 0:00;31/12/2022 23:45;90
01/01/2018 0:00;31/12/2022 23:45;91
01/01/2018 0:00;31/12/2022 23:45;92
01/01/2018 0:00;31/12/2022 23:45;93
01/01/2018 0:00;31/12/2022 23:45;94
01/01/2018 0:00;31/12/2022 23:30;95
01/01/2018 0:00;31/12/2022 23:30;96
01/01/2018 0:00;31/12/2022 23:30;97
01/01/2018 0:00;31/12/2022 23:30;98
01/01/2018 0:00;31/12/2022 23:30;99
01/01/2018 0:00;31/12/2022 23:30;100
01/01/2018 0:00;31/12/2022 23:30;101
01/01/2018 0:00;31/12/2022 23:30;102
01/01/2018 0:00;31/12/2022 23:30;103
01/01/2018 0:00;31/12/2022 23:30;104
01/01/2018 0:00;31/12/2022 23:30;105
01/01/2018 0:00;31/12/2022 23:30;106
01/01/2018 0:00;31/12/2022 23:30;107
01/01/2018 0:00;31/12/2022 23:30;108
01/01/2018 0:00;31/12/2022 23:45;109
01/01/2018 0:00;31/12/2022 23:45;110
01/01/2018 0:00;31/12/2022 23:45;111
01/01/2018 0:00;31/12/2022 23:45;113
01/01/2018 0:00;31/12/2022 23:45;114
01/01/2018 0:00;31/12/2022 23:00;117
01/01/2018 0:00;31/12/2022 23:00;118
01/01/2018 0:00;31/12/2022 23:00;119
01/01/2018 0:00;31/12/2022 23:00;120
01/01/2018 0:00;31/12/2022 23:00;122
01/01/2018 0:00;31/12/2022 23:00;123
01/01/2018 0:00;31/12/2022 23:00;124
01/01/2018 0:00;31/12/2022 23:00;126
01/01/2018 0:00;31/12/2022 23:00;129
01/01/2018 0:00;31/12/2022 23:00;132
01/01/2018 0:00;31/12/2022 23:00;133
01/01/2018 0:00;31/12/2022 23:56;135
01/01/2018 0:00;31/12/2022 23:00;136
01/01/2018 0:00;31/12/2022 23:00;138
01/01/2018 0:00;31/12/2022 23:57;139
