start;end;ID
2018-01-01 0:00;2020-01-01 0:00;247
2018-01-01 0:00;2020-01-01 0:00;248
2018-01-01 0:00;2020-01-01 0:00;249
2018-01-01 0:00;2020-01-01 0:00;250
2018-01-01 0:00;2020-01-01 0:00;251
2018-01-01 0:00;2020-01-01 0:00;252
2018-01-01 0:00;2020-01-01 0:00;253
2018-01-01 0:00;2020-01-01 0:00;254
2018-01-01 0:00;2020-01-01 0:00;255
2018-01-01 0:00;2020-01-01 0:00;256
2018-01-01 0:00;2020-01-01 0:00;257
2018-01-01 0:00;2020-01-01 0:00;258
2018-01-01 0:00;2020-01-01 0:00;259
2018-01-01 0:00;2020-01-01 0:00;260
2018-01-01 0:00;2020-01-01 0:00;261
2018-01-01 0:00;2020-01-01 0:00;262
2018-01-01 0:00;2020-01-01 0:00;263
2018-01-01 0:00;2020-01-01 0:00;264
2018-01-01 12:00;2019-12-31 12:00;295
2018-01-01 12:00;2019-12-31 12:00;298
2018-01-01 12:00;2019-12-31 12:00;299
2018-01-01 12:00;2019-12-31 12:00;302
2018-01-01 12:00;2019-12-31 12:00;303
2018-01-01 12:00;2018-12-31 12:00;307
2018-01-01 12:00;2019-12-31 12:00;308
2018-01-01 12:00;2019-12-31 12:00;309
2018-01-01 12:00;2019-12-31 12:00;311
2018-01-01 12:00;2019-12-31 12:00;319
2018-01-01 12:00;2019-12-31 12:00;323
2018-01-01 0:00;2020-01-01 0:00;327
2018-01-01 0:00;2018-12-31 23:00;332
2018-01-01 0:00;2018-12-31 23:00;333
2018-01-01 0:00;2018-12-31 23:00;334
2018-01-01 0:00;2018-12-31 23:00;335
2018-01-01 0:00;2018-12-31 23:00;336
2018-01-01 0:00;2018-12-31 23:00;337
2018-01-01 0:00;2018-12-31 23:00;338
2018-01-01 0:00;2018-12-31 23:00;339
2018-01-01 0:00;2018-12-31 23:00;340
2018-01-01 0:00;2018-12-31 23:00;343
2018-01-01 0:00;2018-12-31 23:00;345
2018-01-01 0:00;2018-12-31 23:00;347
2018-01-01 0:00;2018-12-31 23:00;348
2018-01-01 0:00;2018-12-31 23:00;349
2018-01-01 0:00;2018-12-31 23:00;350
2018-01-01 0:00;2018-12-31 23:00;351
2018-01-01 0:00;2018-12-31 23:00;352
2018-01-01 0:00;2018-12-31 23:00;353
2018-01-01 0:00;2018-12-31 23:00;354
2018-01-01 0:00;2018-12-31 23:00;355
2018-01-01 0:00;2018-12-31 23:00;356
2018-01-01 0:00;2018-12-31 23:00;357
2018-01-01 0:00;2018-12-31 23:00;358
2018-01-01 0:00;2018-12-31 23:00;359
2018-01-01 0:00;2018-12-31 23:00;361
2018-01-01 0:00;2018-12-31 23:00;362
2018-01-01 0:00;2018-12-31 23:00;366
2018-01-01 0:00;2018-12-31 23:00;367
2018-01-01 0:00;2018-12-31 23:00;369
2018-01-01 0:00;2018-12-31 23:00;370
2018-01-01 0:00;2018-12-31 23:00;371
2018-01-01 0:00;2018-12-31 23:00;372
2018-01-01 0:00;2020-01-01 0:00;491
2018-01-01 0:00;2021-10-31 23:59;492
2018-01-01 0:00;2020-01-01 0:00;493
2018-01-01 0:00;2020-01-01 0:00;494
2018-01-01 0:00;2020-01-01 0:00;495
2018-01-01 0:00;2021-10-31 23:59;496
2018-01-01 0:00;2021-10-31 23:59;497
2018-01-01 0:00;2020-01-01 0:00;498
2018-01-01 0:00;2021-10-31 23:59;499
2018-01-01 0:00;2021-10-31 23:59;500
2018-01-01 0:00;2021-10-31 23:59;501
2018-01-01 0:00;2021-10-31 23:59;502
2018-01-01 0:00;2021-10-31 23:59;503
2018-01-01 0:00;2021-10-31 23:59;504
2018-01-01 0:00;2020-01-01 0:00;505
2018-01-01 0:00;2021-10-31 23:59;506
2018-01-01 0:00;2020-01-01 0:00;507
2018-01-01 0:00;2020-01-01 0:00;508
2018-01-01 0:00;2021-10-31 23:59;509
2018-01-01 0:00;2021-10-31 23:59;510
2018-01-01 0:00;2021-10-31 23:59;511
2018-01-01 0:00;2021-10-31 23:59;512
2018-01-01 0:00;2020-01-01 0:00;513
2018-01-01 0:00;2020-01-01 0:00;514
2018-01-01 0:00;2021-10-31 23:59;515
2018-01-01 0:00;2021-10-31 23:59;516
2018-01-01 0:00;2021-10-31 23:59;517
2018-01-01 0:00;2020-01-01 0:00;518
2018-01-01 0:00;2020-01-01 0:00;519
2018-01-01 0:00;2021-10-31 23:59;520
2018-01-01 0:00;2020-01-01 0:00;521
2018-01-01 0:00;2020-01-01 0:00;522
2018-01-01 0:00;2020-01-01 0:00;523
2018-01-01 0:00;2020-01-01 0:00;524
2018-01-01 0:00;2020-01-01 0:00;526
2018-01-01 0:00;2021-10-31 23:59;528
2018-01-01 0:00;2021-10-31 23:59;529
2018-01-01 0:00;2021-10-31 23:59;530
2018-01-01 0:00;2021-10-31 23:59;531
2018-01-01 0:00;2021-10-31 23:59;532
2018-01-01 0:00;2021-10-31 23:59;533
2018-01-01 0:00;2020-01-01 0:00;534
2018-01-01 0:00;2021-10-31 23:59;535
2018-01-01 0:00;2021-10-31 23:59;536
2018-01-01 0:00;2021-10-31 23:59;538
2018-01-01 0:00;2021-10-31 23:59;539
2018-01-01 0:00;2021-10-31 23:59;540
2018-01-01 0:00;2020-01-01 0:00;541
2018-01-01 0:00;2020-01-01 0:00;542
2018-01-01 0:00;2021-10-31 23:59;543
2018-01-01 0:00;2021-10-31 23:59;544
2018-01-01 0:00;2021-10-31 23:59;545
2018-01-01 0:00;2021-10-31 23:59;546
2018-01-01 0:00;2021-10-31 23:59;547
2018-01-01 0:00;2021-10-31 23:59;548
2018-01-01 0:00;2021-10-31 23:59;549
2018-01-01 0:00;2020-01-01 0:00;550
2018-01-01 0:00;2021-10-31 23:59;551
2018-01-01 0:00;2021-10-31 23:59;552
2018-01-01 0:00;2021-10-31 23:59;553
2018-01-01 0:00;2020-01-01 0:00;554
2018-01-01 0:00;2020-01-01 0:00;555
2018-01-01 0:00;2019-12-31 22:00;560
2018-01-01 0:00;2019-12-31 22:00;561
2018-01-01 0:00;2019-12-31 22:00;562
2018-01-01 0:00;2019-12-31 22:00;564
2018-01-01 0:00;2019-12-31 22:00;565
2018-01-01 0:00;2019-12-31 22:00;568
2018-01-01 0:00;2019-12-31 22:00;569
2018-01-01 0:00;2019-12-31 22:00;572
2018-01-01 0:00;2019-12-31 22:00;574
2018-01-01 0:00;2019-12-31 22:00;576
2018-01-01 0:00;2019-12-31 22:00;577
2018-01-01 0:00;2019-12-31 22:00;578
2018-01-01 0:00;2019-12-31 22:00;579
2018-01-01 0:00;2019-12-31 22:00;580
2018-01-01 0:00;2019-12-31 22:00;581
2018-01-01 0:00;2019-12-31 23:00;659
2018-01-01 0:00;2019-12-31 23:00;660
2018-01-01 0:00;2018-12-31 22:00;661
2018-01-01 0:00;2018-12-31 23:00;662
2018-01-01 0:00;2019-12-31 23:01;663
2018-01-01 0:00;2019-12-31 22:00;664
2018-01-01 0:00;2019-12-31 23:45;665
2018-01-01 0:00;2019-12-31 23:00;666
2018-01-01 5:00;2019-12-31 23:30;667
