model,window,KGE,OF,leadtime,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8
COS,1,0.500,f0.8,12,0.875,1/1,588,286,231,874,0.673,0.718,0.700
COS,1,0.500,f0.8,60,0.725,1/1,338,536,154,874,0.387,0.687,0.527
DWD,1,0.500,f0.8,12,0.050,2/2,511,363,366,874,0.585,0.583,0.583
DWD,1,0.500,f0.8,60,0.050,3/3,370,504,362,874,0.423,0.505,0.470
EUD,1,0.500,f0.8,12,0.050,2/2,507,367,249,874,0.580,0.671,0.632
EUD,1,0.500,f0.8,60,0.050,3/3,362,512,265,874,0.414,0.577,0.500
EUD,1,0.500,f0.8,180,0.050,2/2,213,661,421,874,0.244,0.336,0.293
EUE,1,0.500,f0.8,12,0.800,1/1,595,279,242,874,0.681,0.711,0.699
EUE,1,0.500,f0.8,60,0.750,1/1,346,528,114,874,0.396,0.752,0.557
EUE,1,0.500,f0.8,180,0.175,2/2,251,623,383,874,0.287,0.396,0.345
